card,lens_no,lens_echo,pour_no,wine,producer_or_region,blurb,grape,style,vintage,abv,serve,notes,pairs_with,acid,sweet,tannin,body,status
Ace of Pentacles,III,One true place. Held in hand.,1,Chablis Montée de Tonnerre,"William Fèvre, Burgundy","A place can fit in the hand. Montée de Tonnerre grows on Kimmeridgian limestone packed with fossil oysters, an ancient seabed you can pick up and pocket at the vineyard's edge; Fèvre bottles that exact stone. One patch of earth, fifty million years old, poured cold.",Chardonnay,"White, premier cru Chablis",2021,12.5%,10-12°C,"Lemon, oyster shell, stone","Oysters, poached fish",0.85,0.03,0.05,0.5,draft
Ace of Pentacles,IV,Early position. Smart money.,1,Hermannshöhle Riesling GG,"Dönnhoff, Nahe","The best investments start small. A single bottle of Dönnhoff's Hermannshöhle, cellared young, appreciates the honest way: not in price first, but in depth, gaining complexity yearly like compound interest you can drink. Getting in early is the whole game. The position is open now.",Riesling,"White, GG dry",2021,13%,10-12°C,"White peach, slate, herbs","Trout, long-term thinking",0.85,0.06,0.05,0.5,draft
Two of Pentacles,I,The juggle. Flawless so far.,1,Zeltinger Schlossberg Kabinett,"Selbach-Oster, Mosel","Grace is chaos, practiced. Mosel Kabinett keeps sugar and acid airborne at once, eight percent alcohol underneath, nothing dropped in two hundred years of the style; Selbach-Oster makes the juggle look like standing still. Both balls stay up. The juggler smiles. Practice, poured.",Riesling,"White, Kabinett",2022,8%,8-10°C,"Green apple, slate, citrus","Spicy food, high-wire acts",0.85,0.5,0.05,0.3,draft
Two of Pentacles,II,"Many sources, one hand. Deft.",1,Bin 389,"Penfolds, South Australia","Many sources, one steady hand. Bin 389 juggles Cabernet and Shiraz gathered across South Australia, matured partly in barrels that held the previous Grange, which earned it the nickname 'Baby Grange.' Different regions, different grapes, one seamless catch. The hands never look busy.",Cabernet-Shiraz blend,"Red, multi-region blend",2021,14.5%,16-17°C,"Black fruit, mocha, oak spice","Steak, stews",0.55,0.06,0.65,0.85,draft
Two of Pentacles,III,Adaptation. Quietly brilliant.,1,Volnay,"Michel Lafarge, Burgundy","Adaptation is quiet talent. Burgundy's tricky years, the 2011s and 2013s, separated the reactive from the responsive, and Lafarge's Volnay from such vintages shows what adjusting gracefully tastes like: transparent, poised, no scars visible. The year wobbled. The hands didn't.",Pinot Noir,"Red, Volnay",2013,12.5%,15-16°C,"Red cherry, rose, earth","Duck, roast chicken",0.7,0.04,0.45,0.5,draft
Two of Pentacles,IV,Both jobs done. Rare balance.,1,Napa Valley Merlot,"Duckhorn, Napa","Duty and passion can share a desk. Duckhorn's Merlot is the day job done impeccably, polished, reliable, nationally beloved, while the same cellar runs single-vineyard experiments off the clock. Neither shortchanges the other. The paycheck funds the poetry, and both drink well.",Merlot,"Red, Napa Merlot",2021,14.5%,16°C,"Plum, cherry, cocoa","Roast chicken, weeknights",0.55,0.06,0.55,0.7,draft
Three of Pentacles,I,The guild's work. Solid through.,1,Les Vénérables Vieilles Vignes,"La Chablisienne, Burgundy","The guild outbuilds the genius. La Chablisienne pools some three hundred growers, a cathedral crew's worth of hands on one wine, and holds prized old-vine parcels most solo domaines would envy. Les Vénérables is craftsmanship by committee, which turns out to mean more craftsmen. Solid, floor to spire.",Chardonnay,"White, old-vine Chablis",2021,13%,10-12°C,"Citrus, hazelnut, mineral","Fish in cream, comté",0.8,0.04,0.05,0.5,draft
Three of Pentacles,II,"Expertise, borrowed. Wise hire.",1,Château Pape Clément,"Pessac-Léognan, Bordeaux","Expertise travels well. Michel Rolland built a career advising cellars on five continents, the master mason called to other people's cathedrals, and Pape Clément shows the polish such visits leave: plush, precise, professionally finished. Hiring the best is also a craft. Someone here had it.",Cabernet-Merlot blend,"Red, Pessac-Léognan",2018,14.5%,"17°C, decant 1 hr","Black fruit, smoke, mocha","Beef, roast duck",0.55,0.06,0.7,0.8,draft
Three of Pentacles,III,The crew. Seamless.,1,Esprit de Tablas,"Tablas Creek, Paso Robles","A good team makes it look inevitable. Esprit de Tablas is a French-American joint venture down to the vines themselves, Beaucastel cuttings on Paso Robles soil, Mourvèdre leading a blend where every grape holds a specific job. No soloists, no seams. Just the finished work, standing.",Mourvèdre blend,"Red, Rhône-style blend",2020,14.5%,16-17°C,"Dark fruit, garrigue, earth","Braised lamb, stews",0.6,0.06,0.6,0.75,draft
Three of Pentacles,IV,The apprentice's mark. Teacher's pride.,1,Grgich Hills Chardonnay,"Napa Valley, California","Good teaching shows in the work. Mike Grgich apprenticed under the legendary André Tchelistcheff, then made the 1973 Chardonnay that beat Burgundy blind in Paris; Grgich Hills is the master's mark carried forward by the student who earned it. The lesson took. Spectacularly.",Chardonnay,"White, Napa Chardonnay",2021,14%,11-13°C,"Apple, citrus, subtle oak","Roast chicken, crab",0.65,0.05,0.05,0.65,draft
Four of Pentacles,I,The long hold. Prudent.,1,Chinon Les Picasses,"Olga Raffault, Loire","Holding on is a strategy too. The Raffault family cellars Les Picasses for years, sometimes decades, releasing old vintages only when they judge the moment right, a library defended like a savings account. Nothing leaves early. What finally leaves is worth the guarding.",Cabernet Franc,"Red, aged Chinon",2014,12.5%,15-16°C,"Dried raspberry, iron, leaves","Roast pork, lentils",0.7,0.04,0.5,0.55,draft
Four of Pentacles,II,The vault. Well stocked.,1,Barolo Cascina Francia,"Giacomo Conterno, Piedmont","The careful never run out. Giacomo Conterno's cellar operates like a vault: wines held in cask for years past fashion, the flagship Monfortino sometimes a decade before release, nothing sold before the house is satisfied. Patience, fully funded. The interest compounds in the bottle.",Nebbiolo,"Red, traditional Barolo",2017,14.5%,"17-18°C, decant 2 hrs","Dried cherry, tar, leather","Brasato, white truffle",0.75,0.04,0.8,0.7,draft
Four of Pentacles,III,The rarity. Guard it well.,1,Fleurie,"Yvon Métras, Beaujolais","Scarcity sharpens desire. Yvon Métras makes minuscule quantities of old-vine Fleurie that vanish on allocation before most drinkers learn the name, bottles guarded, traded, and lied about at dinner parties. Beaujolais, of all things, became treasure. Hold yours accordingly.",Gamay,"Red, cult Beaujolais",2021,13%,"14°C, light chill","Wild cherry, violet, spice","Charcuterie, bragging rights",0.7,0.04,0.35,0.45,draft
Four of Pentacles,IV,"The treasured rows. Held tight, rightly.",1,Cros Parantoux,"Méo-Camuzet, Vosne-Romanée","Small holdings hold tightest. Cros Parantoux was abandoned to artichokes until Henri Jayer dynamited the rock and replanted it by hand, turning a forgotten corner into Burgundy's most jealously guarded premier cru; Méo-Camuzet inherited his rows. A few coins, clutched. Worth clutching.",Pinot Noir,"Red, premier cru Vosne",2018,13%,15-16°C,"Dark cherry, incense, iron","Squab, reverence",0.7,0.04,0.55,0.6,draft
Five of Pentacles,I,"Lean years, honored. They built this.",1,Titolo,"Elena Fucci, Basilicata","The lean years made the backbone. Basilicata has long been one of Italy's poorest regions, and Aglianico del Vulture its stubborn, unpaid genius; Elena Fucci's family refused to sell the old Titolo vineyard and turned it into the region's flagship instead. Poverty kept the vines honest. The wine keeps the record.",Aglianico,"Red, volcanic Vulture",2019,14%,"17°C, decant 1 hr","Black cherry, ash, iron","Sausage and lentils, aged cheeses",0.7,0.04,0.75,0.75,draft
Five of Pentacles,II,"The frost year. Precious, what's left.",1,Chablis,"Vincent Dauvissat, Burgundy","What the frost spared became precious. In April 2021 growers stood among candles all night as Chablis froze anyway, the crop cut to fractions; what Dauvissat carried in from that ruin is scarce, taut, and quietly defiant. The cold took most of it. It missed the soul.",Chardonnay,"White, frost-year Chablis",2021,12.5%,10-12°C,"Lemon, stone, sleet","Oysters, gratitude",0.85,0.03,0.05,0.45,draft
Five of Pentacles,III,Outside the club. Better parties.,1,Domaine de Trévallon,"Provence, France","Outside has better company anyway. Trévallon's Cabernet-Syrah broke the local appellation's blending rules, so Eloi Dürrbach declassified his greatest wine to lowly table status rather than change it; collectors followed him straight out the door. The club kept its rules. He kept the guest list.",Cabernet-Syrah blend,"Red, declassified Provence",2019,13.5%,16-17°C,"Black olive, herbs, dark fruit","Lamb, principled company",0.65,0.04,0.65,0.7,draft
Six of Pentacles,I,"Generosity, institutional. Noble.",1,Hospices de Beaune Cuvée,"Beaune, Burgundy","Generosity can be an institution. Since 1443 the Hospices de Beaune has funded its hospital by auctioning wine from donated vineyards, six centuries of barrels traded for beds and care, the world's oldest charity auction. The label is a ledger of giving. Drink to the balance.",Pinot Noir,"Red, charity cuvée",2020,13%,15-16°C,"Red cherry, spice, earth","Coq au vin, good causes",0.7,0.04,0.5,0.55,draft
Six of Pentacles,II,The bargain. A quiet gift.,1,Côtes du Rhône,"E. Guigal, Rhône","Some gifts come disguised as bargains. Guigal makes millions of bottles of this and treats every one like the estate's reputation rides on it, because it does: dark Syrah-led fruit, real structure, a price that reads like a favor. The generosity flows downhill here. On purpose.",Syrah-Grenache blend,"Red, Côtes du Rhône",2020,14%,15-16°C,"Black fruit, pepper, olive",Weeknight everything,0.6,0.05,0.5,0.65,draft
Six of Pentacles,III,The patron's touch. Gracious.,1,Cristal,"Louis Roederer, Champagne","Great work often had a backer. Cristal was created in 1876 for Tsar Alexander II, in clear glass with a flat bottom so nothing could be hidden beneath the wine, patronage shaping even the bottle. The court is gone; the standard survived it. Patrons pass. Graciousness keeps.",Pinot-Chardonnay blend,Prestige Champagne,2015,12%,9-11°C,"White fruit, citrus, chalk","Caviar, largesse",0.75,0.08,0.05,0.5,draft
Seven of Pentacles,I,The long wait. Nearly harvest.,1,Vintage Port,"Dow's, Douro","The best rewards are slow ones. Vintage Port is bottled young and buried in cellars for decades, an investment whose dividends arrive when the buyer is greyer and wiser; the legendary 1994s are only now fully paying out. The waiting was the work. The harvest is finally in sight.",Touriga blend,"Fortified, Vintage Port",1994,20%,"16-18°C, decant","Fig, cassis, dark chocolate","Stilton, patience",0.55,0.75,0.6,0.9,draft
Seven of Pentacles,II,"Slowness, deliberate. Correct pace.",1,15 Year Verdelho,"D'Oliveiras, Madeira","Some methods refuse to hurry. Canteiro Madeira ages in warm attic lofts for decades, no shortcuts, heat and time doing at their own pace what machines could fake in months; D'Oliveiras keeps stocks reaching back over a century. Slow was the design spec. The pace is the quality.",Verdelho,"Fortified, Canteiro Madeira",NV,19%,13-15°C,"Dried apricot, smoke, citrus peel","Hard cheeses, long views",0.8,0.5,0.1,0.65,draft
Seven of Pentacles,III,The payoff. Collect it.,1,Clos Mogador,"Priorat, Spain","Long bets settle in full. René Barbier hauled Priorat's abandoned slate terraces back into production when the region was a ghost economy, a decade of investment before the vines hit stride; Clos Mogador is the mature position. The land repays conviction. With interest, evidently.",Garnacha-Cariñena blend,"Red, Priorat",2019,14.5%,"17°C, decant 1 hr","Black fruit, slate, incense","Grilled lamb, dividends",0.6,0.06,0.65,0.85,draft
Eight of Pentacles,I,"The details. All of them, minded.",1,Scharzhofberger Kabinett,"Egon Müller, Saar","Perfection is a pile of small choices. Egon Müller's family has worked the Scharzhofberg since 1797, and the Kabinett is fussed over like jewelry: parcel by parcel, cask by cask, until eight percent alcohol carries impossible detail. Nothing here happened by accident. Nothing ever does.",Riesling,"White, Saar Kabinett",2021,8%,8-10°C,"White peach, slate, blossom","Delicate fish, close attention",0.9,0.5,0.05,0.3,draft
Eight of Pentacles,II,"The understudy. Ready, clearly.",1,Les Forts de Latour,"Pauillac, Bordeaux","The training shows early. Les Forts is made by Latour's team, from Latour's land, with Latour's obsessive sorting, the second label as apprenticeship: same hands, earlier chapter. The understudy knows every line already. Promotion is a formality the cellar has stopped debating.",Cabernet blend,"Red, Pauillac second label",2016,13.5%,"17°C, decant 1 hr","Cassis, cedar, graphite","Roast beef, rehearsals",0.6,0.05,0.7,0.75,draft
Eight of Pentacles,III,"A lifetime, one place. Devotion.",1,Wehlener Sonnenuhr Spätlese,"Joh. Jos. Prüm, Mosel","Devotion narrows and deepens. The Prüm family has spent generations on one steep slope with a sundial in it, refining the same wine from the same rows until repetition became mastery became legend. One plot, one lifetime, several times over. The Spätlese is the compounded result.",Riesling,"White, Mosel Spätlese",2020,8%,8-10°C,"Peach, slate, wildflower honey","Spiced dishes, devotion",0.85,0.55,0.05,0.3,draft
Nine of Pentacles,I,"Treat yourself, indeed. Earned.",1,Château Suduiraut,"Sauternes, Bordeaux","Reward is part of the work. Suduiraut is Sauternes for the self-made hour: apricot and crème brûlée gilded by noble rot, a luxury that needs no occasion beyond having finished something. The table for one is set in gold. Sit down. It was always going to be yours.",Sémillon blend,"Sweet, Sauternes",2016,14%,10-12°C,"Apricot, honey, crème brûlée","Roquefort, solitude",0.7,0.9,0.05,0.75,draft
Nine of Pentacles,II,The walled garden. All yours.,1,Clos de Tart,"Morey-Saint-Denis, Burgundy","What's wholly yours answers to no one. Clos de Tart has been a monopole since Cistercian nuns founded it in 1141, a walled grand cru never divided in nearly nine centuries, one owner at a time, always entire. The garden gate has one key. Tonight it's in your pocket.",Pinot Noir,"Red, grand cru monopole",2018,13.5%,16-17°C,"Dark cherry, rose, spice","Squab, self-possession",0.65,0.04,0.55,0.6,draft
Nine of Pentacles,III,Whole on its own. Kindred.,1,Dom Pérignon P2,"Champagne, France","The finest company can be none. P2 is Dom Pérignon released a second time after fifteen years on its lees, deeper, broader, complete to the point of needing nothing else on the table, food and guests included. It keeps its own counsel beautifully. Kindred spirits recognize the trait.",Chardonnay-Pinot blend,"Vintage Champagne, late release",2004,12.5%,9-11°C,"Toasted brioche, smoke, citrus",Nothing required,0.75,0.08,0.05,0.6,draft
Ten of Pentacles,I,The dynasty. Centuries agree.,1,Chianti Classico Riserva,"Marchesi Antinori, Tuscany","Some families measure in centuries. The Antinori have made wine since 1385, twenty-six generations without breaking the chain, a business older than most nations pouring like a family album. The Riserva carries the crest lightly. Dynasties that last learn to wear it that way.",Sangiovese,"Red, Chianti Classico Riserva",2020,14%,16-17°C,"Cherry, leather, spice","Bistecca, inheritance",0.7,0.05,0.6,0.65,draft
Ten of Pentacles,II,The survivors' line. Living memory.,1,Colares Ramisco,"Adega Viúva Gomes, Portugal","The past survives in living things. When phylloxera ate Europe's vineyards, the louse could not cross Colares's deep beach sand, so its Ramisco vines still grow on their own pre-plague roots, a bloodline unbroken since before the disaster. Living memory, on original footing. Taste what everyone else lost.",Ramisco,"Red, ungrafted Colares",2015,11.5%,14-15°C,"Sour cherry, salt, forest","Grilled sardines, ancestry",0.8,0.03,0.6,0.45,draft
Ten of Pentacles,III,For the grandchildren. Farsighted.,1,Vintage Port,"Warre's, Douro","Some things are bought for grandchildren. A declared Vintage Port outlives its buyer by design, laid down at a birth to be opened at a wedding fifty years on; Warre's has supplied that particular kind of foresight since 1670. The purchase is a letter to the future. It keeps beautifully.",Touriga blend,"Fortified, Vintage Port",2017,20%,"16-18°C, decant","Black fruit, violet, spice","Stilton, posterity",0.55,0.8,0.7,0.9,draft
Page of Pentacles,I,Spotted before fame. Collector's eye.,1,Predappio Sangiovese,"Chiara Condello, Emilia-Romagna","Talent shows before fame does. Chiara Condello started bottling Predappio's Sangiovese in her twenties and promptly made Romagna, Tuscany's overlooked neighbor, a name critics now watch; early bottles are already being hoarded. The eye that finds them first eats best. Yours just did.",Sangiovese,"Red, Romagna",2020,13.5%,16°C,"Red cherry, rose, blood orange","Pasta al ragù, foresight",0.75,0.04,0.55,0.55,draft
Page of Pentacles,II,Learning in public. Endearing.,1,Ramato Pinot Grigio,"Channing Daughters, Long Island","Learning looks like tinkering. Channing Daughters runs Long Island like an open workshop, skin-fermented whites, obscure varieties, experiments bottled mid-lesson; Ramato macerates Pinot Grigio to copper the old Friulian way. Every vintage is a new assignment. The homework happens to be delicious.",Pinot Grigio,Copper skin-contact white,2022,12.5%,10-12°C,"Orange peel, strawberry, tea","Charcuterie, curiosity",0.65,0.05,0.25,0.5,draft
Page of Pentacles,III,The fundamentals. Never wrong.,1,Sauvignon Blanc,"Cloudy Bay, Marlborough","Fundamentals never wasted anyone's time. Cloudy Bay's 1985 debut effectively wrote the textbook for New Zealand Sauvignon, the reference every student of the style still gets pointed to first. Passionfruit, lime, cut grass, perfect diction. Start here. Everyone serious did.",Sauvignon Blanc,"White, benchmark Marlborough",2023,13%,8-10°C,"Passionfruit, lime, cut grass","Goat cheese, study sessions",0.85,0.05,0.05,0.4,draft
Knight of Pentacles,I,Consistency. Decades deep.,1,Ridge Estate Cabernet,"Ridge Vineyards, Santa Cruz Mountains","Reliability is the rarest feat. Ridge has made wine the same patient way since 1962, same mountain, same methods, ingredient labels before anyone asked, quality so steady it stops being news. No flash, no vintage of the century talk. Just the promise, kept again. Decades deep and counting.",Cabernet blend,"Red, mountain Cabernet",2021,13.5%,17°C,"Blackcurrant, cedar, bay","Sunday roast, trust",0.65,0.04,0.65,0.7,draft
Knight of Pentacles,II,The workhorse. Never once late.,1,Bourgogne Rouge,"Joseph Drouhin, Burgundy","Dependable is a compliment. Drouhin's Bourgogne Rouge does the unglamorous work of being good every single year, real Burgundy at an honest price, delivered without drama since 1880. It has never headlined a list and never let one down. The workhorse cashes every check it writes.",Pinot Noir,"Red, Bourgogne",2021,13%,15-16°C,"Cherry, earth, spice","Roast chicken, reliability",0.7,0.04,0.4,0.5,draft
Knight of Pentacles,III,"The long way. The only way, here.",1,Barolo,"Bartolo Mascarello, Piedmont","Shortcuts were never considered. Bartolo Mascarello made Barolo in big old casks from blended vineyards his whole life, hand-drew labels, and famously lettered one 'no barrique, no Berlusconi' when fashion demanded he modernize. The house still walks the long way. It arrives, every time.",Nebbiolo,"Red, traditional Barolo",2018,14%,"17°C, decant 2 hrs","Rose, tar, dried cherry","Brasato, conviction",0.75,0.04,0.8,0.65,draft
Queen of Pentacles,I,Grounded generosity. Felt at once.,1,Bandol Rouge,"Domaine Tempier, Provence","Groundedness is generosity. Domaine Tempier fed half the food world from its farmhouse kitchen, Lulu Peyraud cooking for writers and cooks who carried the gospel home, and the Mourvèdre tastes like that hearth: warm, earthy, openhanded. The table was always set. It still is.",Mourvèdre,"Red, Bandol",2019,14%,16-17°C,"Dark plum, earth, wild herbs","Provençal stews, roast lamb",0.6,0.05,0.65,0.75,draft
Queen of Pentacles,II,The table's ally. Invited back.,1,Riesling Trocken,"Dr. Bürklin-Wolf, Pfalz","A good meal is a form of love. Bürklin-Wolf farms the Pfalz biodynamically and makes dry Riesling that exists to serve dinner, acidity clearing the way, fruit seasoning the plate, never upstaging the cook. It improves every table it joins. The invitations keep coming.",Riesling,"White, dry Pfalz",2022,12.5%,9-11°C,"Citrus, orchard fruit, herbs","Roast pork, weeknight feasts",0.8,0.06,0.05,0.45,draft
Queen of Pentacles,III,The heirloom vine. Tended on.,1,Central Coast Pinot Noir,"Calera, California","What's treasured gets replanted. Calera's Pinot descends from cuttings whose Burgundian origins are the stuff of legend, a mother line propagated across California by winemakers who wanted that exact inheritance in their rows. The heirloom keeps giving. Somebody tends it forward every generation.",Pinot Noir,"Red, heritage-clone Pinot",2021,13.5%,15-16°C,"Cherry, sassafras, earth","Salmon, mushroom dishes",0.7,0.05,0.45,0.55,draft
King of Pentacles,I,Blue chip. It never wobbles.,1,Château Lafite Rothschild,"Pauillac, Bordeaux","Some reputations are currency. Lafite is the most traded name in fine wine, a first growth whose label functions as a reserve asset from London to Hong Kong, value held across centuries and crashes alike. The wine under the capsule justifies the ticker. Blue chip, in every sense.",Cabernet blend,"Red, first growth",2016,13%,"17-18°C, decant 2 hrs","Cassis, cedar, cigar box","Filet, portfolios",0.6,0.04,0.75,0.8,draft
King of Pentacles,II,The masterpiece. Bow slightly.,1,Vérité La Joie,"Sonoma County, California","Mastery has a masterpiece. Jess Jackson built one of wine's great empires, then commissioned its crown: Vérité, a Sonoma Bordeaux-blend project that has collected a shelf of perfect scores. Every enterprise dreams of one object that outranks the balance sheet. This is that object, poured.",Cabernet blend,"Red, Sonoma flagship",2018,14.5%,"17°C, decant 1 hr","Black cherry, graphite, spice","Lamb, legacies",0.55,0.05,0.7,0.85,draft
King of Pentacles,III,The appreciating asset. Well judged.,1,Château Lynch-Bages,"Pauillac, Bordeaux","Wise purchases repay the wait. Lynch-Bages from a great year is the classic cellar investment: bought young for sensible money, worth multiples at maturity, and, unlike most assets, improving the entire time. The 2000s proved the thesis again. Sound judgment you can eventually drink.",Cabernet blend,"Red, Pauillac",2000,13%,"17°C, decant 1 hr","Cassis, cedar, tobacco","Rack of lamb, sound decisions",0.6,0.04,0.7,0.75,draft
